Abstraction Node,Raw Node,Reason
Data Prep and Validation,Data Prep,Added from MLOps Process model for CI/CD steps and merged for abstraction
,Data Validation,
AML Workspace,Create machine learning workspace,Merged the nodes related to the workspace into AML Workspace
,Create machine learning compute,
,Publish machine learning pipeline,
Azure User,DS – Data Scientist,Added from MLOps Process model for understanding User interaction
Data Sanity and Unit Tests,Data sanity test,Merged the tests performed on the data into one node
,Unit test,
Azure Container Registry,N/A,Added from the description given on the page
AML Compute Train and Evaluate,Azure Machine Learning Compute,Merged the training steps for simplification of the training pipeline
,Train Model,
,Evaluate Model,
AML Model Serving/ Scoring services,Azure Machine Learning – Staging QA,Merged the model serving and scoring nodes to one node for simplification
,Azure Machine Learning – Production,
,Scoring Servies,